obs,resp,stimulus,previous,contrast,state
1,-1,-1,-1,1.25,2
1,1,1,1,1.5,2
1,-1,-1,-1,1.5,2
1,1,1,-1,1.5,2
1,1,1,-1,0.5,2
1,1,1,-1,1.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,1,1.5,2
1,-1,-1,1,1.25,2
1,1,1,1,0.75,2
1,1,-1,1,1.5,2
1,1,1,-1,0.5,2
1,1,1,1,0.75,2
1,1,1,-1,1.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,1,1.5,2
1,-1,-1,1,1.25,2
1,1,1,1,1.25,2
1,1,-1,1,0.5,2
1,1,1,1,1.25,2
1,-1,1,-1,0.5,1
1,1,1,1,1.25,1
1,-1,-1,-1,1.25,2
1,-1,-1,1,1.25,2
1,-1,-1,-1,1.5,2
1,1,1,1,1.5,2
1,-1,-1,-1,1.5,2
1,1,1,1,1.25,2
1,-1,-1,1,1.5,2
1,-1,-1,1,1.25,2
1,1,-1,1,0.5,2
1,-1,-1,-1,0.5,2
1,1,1,-1,1.5,2
1,1,1,1,0.75,2
1,1,1,-1,1.5,2
1,1,-1,1,0.5,2
1,1,1,-1,1.25,2
1,1,1,-1,1.25,2
1,1,-1,1,0.5,2
1,1,1,-1,1.25,2
1,-1,-1,-1,0.75,2
1,-1,-1,-1,0.5,2
1,-1,-1,-1,0.75,2
1,-1,-1,-1,0.5,2
1,1,-1,1,0.5,2
1,-1,-1,-1,0.5,1
1,1,-1,1,0.5,1
1,-1,-1,-1,0.5,1
1,-1,1,-1,0.5,1
1,-1,1,-1,1.25,1
1,-1,-1,-1,0.75,1
1,-1,-1,-1,1.25,2
1,-1,-1,-1,1.25,2
1,1,1,-1,0.75,2
1,-1,-1,-1,1.25,2
1,-1,-1,-1,0.75,2
1,1,1,-1,0.5,2
1,-1,-1,-1,0.75,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,1.5,2
1,1,-1,1,0.75,2
1,1,-1,1,0.5,2
1,1,1,1,1.25,2
1,1,1,1,1.25,2
1,1,1,1,0.75,2
1,-1,-1,-1,0.5,2
1,-1,-1,1,1.5,2
1,1,-1,1,0.5,2
1,1,1,1,0.5,1
1,1,-1,1,0.5,1
1,1,-1,1,0.5,1
1,1,-1,1,1.25,1
1,1,1,-1,1.25,1
1,-1,1,-1,0.5,1
1,1,1,1,1.5,2
1,-1,-1,-1,1.25,2
1,1,1,1,1.25,2
1,1,-1,1,0.5,2
1,1,1,1,1.5,2
1,-1,-1,1,1.5,2
1,1,1,-1,1.5,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,1.5,2
1,1,1,-1,1.25,2
1,1,1,1,0.5,2
1,1,-1,1,0.75,2
1,1,1,1,0.5,2
1,1,1,-1,0.5,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,0.75,2
1,1,-1,1,0.75,2
1,1,-1,1,0.75,2
1,1,1,-1,0.75,2
1,1,1,-1,1.25,2
1,1,1,-1,0.5,2
1,1,1,1,1.5,1
1,-1,1,-1,1.25,1
1,-1,-1,-1,1.5,1
1,1,1,1,0.75,1
1,-1,1,-1,0.75,1
1,1,-1,1,0.5,1
1,1,1,1,0.5,1
1,1,1,-1,1.25,1
1,-1,1,-1,0.75,1
1,1,1,-1,1.5,1
1,-1,1,-1,0.5,1
1,1,-1,1,1.5,1
1,-1,-1,-1,1.25,1
1,1,-1,1,1.25,1
1,1,-1,1,1.5,1
1,-1,1,-1,0.75,1
1,1,-1,1,0.75,1
1,1,-1,1,0.75,1
1,-1,-1,-1,1.5,1
1,-1,-1,-1,1.5,1
1,1,-1,1,0.5,1
1,-1,-1,-1,0.5,1
1,-1,1,-1,0.75,1
1,-1,-1,-1,0.5,2
1,1,-1,1,1.25,2
1,1,1,1,0.75,2
1,1,1,1,0.5,2
1,1,-1,1,0.5,2
1,-1,-1,1,1.5,2
1,-1,-1,1,1.25,2
1,-1,-1,-1,0.75,2
1,1,1,-1,1.5,2
1,-1,-1,-1,0.5,2
1,1,1,-1,1.25,2
1,1,1,-1,1.25,1
1,-1,-1,1,1.25,2
1,1,-1,1,0.5,2
1,1,-1,1,1.25,2
1,-1,-1,1,0.75,2
1,1,-1,1,0.5,2
1,1,1,-1,0.5,2
1,-1,-1,-1,1.5,2
1,1,-1,1,0.5,1
1,1,1,1,0.5,1
1,1,-1,1,0.5,1
1,1,1,1,0.75,1
1,-1,1,-1,0.5,1
1,-1,-1,-1,1.5,1
1,1,1,1,0.5,2
1,1,-1,1,0.5,2
1,1,-1,1,0.75,2
1,1,1,-1,0.75,2
1,1,1,1,0.5,2
1,1,1,1,1.5,2
1,-1,-1,-1,0.75,2
1,-1,-1,-1,0.75,2
1,1,1,-1,0.5,2
1,1,1,1,0.75,2
1,-1,-1,-1,0.5,2
1,1,-1,1,1.25,2
1,1,1,-1,1.5,2
1,-1,-1,1,1.25,2
1,-1,1,-1,0.5,2
1,1,1,-1,0.5,2
1,1,1,-1,1.5,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,1.25,2
1,1,-1,1,0.5,2
1,1,1,-1,1.5,2
1,-1,-1,-1,0.75,2
1,1,1,-1,0.75,2
1,-1,-1,1,1.25,2
1,1,1,1,0.5,2
1,1,-1,1,0.5,2
1,1,1,1,1.25,2
1,1,1,1,1.25,2
1,1,1,1,1.25,2
1,-1,1,-1,1.25,1
1,-1,-1,-1,1.25,1
1,1,1,1,1.5,1
1,1,-1,1,0.75,1
1,-1,-1,-1,1.25,1
1,1,1,1,1.25,1
1,-1,1,-1,0.75,1
1,1,-1,1,0.5,1
1,1,1,-1,1.5,1
1,1,1,1,0.75,1
1,1,1,1,1.25,1
1,1,1,-1,1.25,1
1,-1,1,-1,0.5,1
1,1,1,1,0.5,1
1,1,-1,1,1.25,1
1,1,-1,1,0.75,1
1,1,1,1,1.5,1
1,1,-1,1,1.5,1
1,-1,-1,-1,1.25,1
1,1,-1,1,0.5,1
1,-1,1,-1,0.5,1
1,-1,1,-1,0.5,1
1,1,1,-1,1.5,1
1,-1,-1,1,1.5,2
1,-1,-1,-1,1.25,2
1,1,1,-1,0.5,2
1,-1,-1,-1,1.25,2
1,1,-1,1,0.5,1
1,1,1,1,0.5,1
1,-1,-1,-1,1.25,1
1,1,1,-1,0.75,2
1,1,1,-1,1.25,2
1,1,1,-1,1.25,1
1,1,-1,1,1.25,1
1,1,1,-1,1.25,1
1,-1,1,-1,0.5,1
1,1,1,1,1.25,1
1,1,1,1,1.5,1
1,1,1,1,1.5,1
1,1,-1,1,0.5,1
1,-1,-1,-1,0.75,1
1,-1,1,-1,0.75,1
1,1,-1,1,1.25,1
1,1,-1,1,1.25,1
1,-1,-1,-1,1.5,1
1,-1,-1,-1,0.75,2
1,1,1,1,0.5,1
1,-1,1,-1,0.5,1
1,1,-1,1,1.5,1
1,1,-1,1,0.5,1
1,1,1,1,0.75,1
1,-1,-1,-1,1.25,1
1,1,1,-1,0.5,1
1,1,1,-1,1.25,1
1,1,-1,1,0.75,1
1,-1,-1,-1,0.5,1
1,1,-1,1,1.5,1
1,-1,1,-1,0.5,1
1,-1,-1,-1,0.75,1
1,1,-1,1,0.5,1
1,1,-1,1,1.25,1
1,1,-1,1,0.5,1
1,1,-1,1,0.75,2
1,1,-1,1,0.5,2
1,1,1,1,0.5,2
1,1,1,-1,1.5,2
1,-1,-1,-1,0.75,1
1,1,1,-1,1.25,1
1,-1,-1,-1,1.5,1
1,1,-1,1,0.75,1
1,1,1,-1,1.25,1
1,1,1,1,1.5,1
1,1,-1,1,0.75,2
1,1,1,1,1.25,2
1,1,-1,1,0.5,2
1,1,1,-1,1.5,2
1,1,1,1,0.5,2
1,1,1,-1,0.75,2
1,1,1,-1,1.5,2
1,1,1,1,0.75,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,0.75,1
1,1,1,1,0.75,1
1,-1,-1,-1,0.5,1
1,1,-1,1,1.25,1
1,-1,1,-1,0.75,1
1,-1,1,-1,0.75,1
1,1,1,1,1.25,2
1,-1,-1,-1,0.5,2
1,-1,-1,1,0.75,2
1,-1,-1,-1,1.5,2
1,1,1,-1,1.25,2
1,-1,-1,-1,0.5,2
1,1,1,-1,0.5,2
1,1,1,1,0.5,2
1,1,-1,1,0.5,2
1,1,-1,1,0.75,1
1,-1,-1,-1,1.25,2
1,-1,-1,-1,1.25,2
1,-1,-1,1,1.25,2
1,1,1,-1,0.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,-1,0.5,2
1,-1,1,-1,0.5,1
1,1,-1,1,0.5,1
1,-1,-1,-1,0.5,1
1,1,1,1,0.5,2
1,1,-1,-1,0.5,2
1,-1,1,-1,0.75,2
1,1,1,1,0.75,2
1,1,1,1,0.5,2
1,1,-1,1,0.75,2
1,1,1,1,1.5,2
1,-1,-1,-1,1.25,1
1,1,1,1,1.25,2
1,-1,1,-1,0.5,2
1,1,1,-1,0.5,2
1,-1,-1,-1,0.5,2
1,1,1,-1,1.5,2
1,-1,-1,1,1.25,2
1,-1,-1,1,1.25,2
1,1,-1,1,0.75,1
1,-1,-1,-1,0.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,-1,1.5,1
1,-1,-1,-1,0.5,1
1,1,1,-1,0.75,1
1,-1,-1,-1,0.75,1
1,1,1,1,0.5,1
1,1,1,-1,1.25,2
1,-1,1,-1,0.75,1
1,-1,-1,1,1.5,2
1,-1,-1,1,0.75,2
1,-1,-1,-1,1.25,2
1,1,1,1,0.5,2
1,1,1,1,0.75,2
1,1,-1,1,0.5,2
1,1,1,-1,1.5,2
1,1,1,-1,1.5,2
1,1,1,-1,0.75,2
1,1,1,-1,1.25,2
1,-1,-1,-1,0.75,2
1,1,-1,1,1.25,2
1,1,1,-1,1.5,2
1,1,1,1,1.25,2
1,-1,-1,-1,0.75,2
1,-1,-1,-1,0.75,2
1,1,-1,1,0.75,2
1,1,-1,1,0.75,2
1,1,-1,1,0.75,2
1,1,-1,1,1.25,1
1,1,1,1,1.25,1
1,1,-1,1,0.75,2
1,1,1,1,0.75,1
1,1,1,1,0.5,1
1,1,1,-1,0.5,1
1,1,1,-1,0.75,1
1,1,1,-1,0.75,1
1,1,-1,1,1.25,1
1,1,1,-1,1.5,1
1,-1,-1,-1,1.5,1
1,1,1,-1,0.75,2
1,1,1,1,0.5,2
1,-1,-1,1,1.5,2
1,-1,-1,-1,1.5,2
1,1,-1,1,1.25,2
1,1,1,1,1.25,2
1,-1,1,-1,0.5,2
1,1,-1,1,1.25,1
1,-1,1,-1,0.75,1
1,1,1,1,0.5,1
1,-1,-1,-1,0.5,1
1,1,1,-1,1.5,1
1,-1,-1,-1,0.5,1
1,1,1,1,0.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,1.25,2
1,-1,-1,-1,1.25,2
1,1,1,1,0.5,2
1,1,-1,1,1.5,1
1,1,1,1,1.25,1
1,-1,-1,-1,1.25,1
1,1,-1,1,0.5,2
1,-1,-1,-1,1.5,2
1,1,1,1,1.25,2
1,1,-1,1,0.5,2
1,-1,-1,1,1.25,2
1,1,-1,1,0.75,2
1,1,1,-1,1.25,2
1,-1,-1,-1,0.75,2
1,1,1,1,0.75,2
1,-1,-1,-1,0.5,2
1,1,1,1,0.75,2
1,-1,-1,-1,0.5,2
1,1,1,1,1.5,1
1,-1,-1,-1,1.25,1
1,-1,-1,-1,1.5,1
1,1,-1,1,0.5,1
1,1,1,1,1.5,1
1,1,1,-1,1.5,1
1,1,1,-1,1.25,1
1,1,-1,1,0.75,1
1,1,1,-1,0.75,1
1,1,1,-1,1.5,1
1,1,1,1,0.5,1
1,-1,1,-1,0.5,1
1,1,1,1,1.5,1
1,1,-1,1,1.25,1
1,1,1,1,1.25,2
1,-1,-1,1,1.25,2
1,-1,-1,1,0.75,2
1,1,1,-1,0.75,2
1,-1,-1,-1,1.5,2
1,-1,-1,-1,0.75,1
1,1,1,-1,1.5,1
1,1,1,1,1.5,1
1,1,-1,1,1.5,1
1,1,1,1,1.25,1
1,1,-1,1,1.25,1
1,1,1,-1,1.5,1
1,1,1,-1,0.75,1
1,-1,-1,-1,0.5,1
1,1,1,-1,1.5,1
2,-1,-1,0,0.75,1
2,1,1,-1,0.5,2
2,-1,-1,1,1.5,2
2,1,-1,1,0.5,2
2,1,1,-1,0.5,2
2,1,1,-1,0.75,2
2,-1,-1,-1,1.5,2
2,-1,-1,-1,1.25,2
2,1,1,1,1.25,2
2,1,1,-1,1.5,2
2,-1,-1,1,1.25,2
2,-1,-1,-1,0.5,2
2,1,1,-1,1.5,2
2,-1,-1,1,1.25,2
2,-1,-1,-1,0.75,2
2,-1,-1,-1,0.75,2
2,-1,-1,-1,0.75,2
2,-1,1,-1,0.75,2
2,-1,-1,-1,0.5,2
2,-1,1,-1,0.5,1
2,-1,-1,-1,0.5,1
2,1,-1,1,0.75,1
2,1,1,-1,0.5,1
2,-1,-1,-1,1.25,1
2,-1,-1,1,1.5,1
2,1,1,1,1.5,1
2,1,-1,1,1.5,1
2,-1,-1,-1,1.25,1
2,1,1,1,1.5,1
2,1,1,-1,1.5,2
2,1,1,-1,0.5,2
2,-1,-1,1,1.5,2
2,-1,-1,-1,0.5,2
2,1,-1,1,1.25,1
2,-1,-1,-1,0.5,1
2,-1,1,-1,0.5,1
2,1,1,1,0.75,2
2,1,-1,1,0.5,2
2,1,1,-1,1.25,2
2,-1,-1,1,1.5,2
2,-1,1,-1,0.75,1
2,1,-1,1,1.25,1
2,1,1,1,1.25,1
2,-1,1,-1,1.25,1
2,1,1,1,0.75,1
2,1,-1,1,1.5,1
2,-1,-1,-1,1.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,0.75,1
2,1,1,1,1.5,1
2,-1,-1,-1,0.5,1
2,1,1,1,1.25,1
2,1,1,1,1.25,2
2,1,1,-1,1.25,2
2,1,1,1,0.75,2
2,1,-1,1,1.25,1
2,-1,-1,-1,1.5,1
2,-1,1,-1,0.5,1
2,1,1,1,0.5,1
2,1,-1,1,1.5,1
2,1,1,-1,0.75,2
2,-1,-1,-1,0.75,1
2,1,1,1,1.5,1
2,1,-1,1,1.5,1
2,1,1,-1,1.5,1
2,-1,-1,-1,0.5,1
2,1,-1,1,0.5,1
2,-1,-1,-1,0.75,2
2,1,1,1,1.25,2
2,1,-1,1,1.25,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.75,2
2,1,1,-1,0.75,2
2,-1,-1,1,1.5,2
2,1,-1,1,0.75,2
2,1,1,-1,1.25,2
2,1,1,-1,1.5,2
2,-1,-1,-1,1.25,2
2,1,1,-1,0.75,2
2,-1,-1,-1,1.25,2
2,1,-1,1,0.5,2
2,-1,-1,1,1.5,2
2,-1,-1,-1,0.75,2
2,1,-1,1,0.75,2
2,-1,-1,-1,1.5,2
2,1,-1,1,0.75,2
2,-1,-1,-1,0.75,2
2,1,1,1,0.5,2
2,1,1,-1,1.25,2
2,1,-1,1,0.5,2
2,-1,-1,-1,0.5,2
2,1,1,1,1.25,2
2,-1,-1,-1,0.75,1
2,1,-1,1,0.75,1
2,1,1,1,1.25,2
2,-1,-1,1,1.5,2
2,1,1,1,0.75,2
2,-1,-1,-1,1.5,1
2,-1,-1,-1,1.5,2
2,1,1,1,0.5,2
2,1,1,1,1.5,2
2,1,-1,1,1.25,1
2,1,1,1,1.5,1
2,1,1,1,1.25,1
2,1,-1,1,1.25,1
2,1,1,1,1.25,1
2,1,1,1,0.75,1
2,1,1,1,0.75,1
2,-1,-1,-1,0.5,1
2,-1,-1,-1,0.75,1
2,-1,-1,-1,1.25,1
2,1,-1,1,0.75,1
2,-1,1,-1,1.25,1
2,-1,-1,-1,0.5,1
2,1,-1,1,0.75,1
2,-1,-1,-1,1.25,1
2,1,1,-1,1.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.5,2
2,-1,-1,-1,0.75,2
2,-1,-1,-1,1.5,2
2,-1,-1,-1,0.75,1
2,-1,1,-1,1.5,1
2,1,-1,1,1.25,1
2,1,-1,-1,0.5,2
2,1,1,1,1.5,2
2,1,1,-1,1.25,2
2,-1,-1,1,1.25,2
2,1,1,-1,0.75,2
2,-1,1,-1,0.5,1
2,1,-1,1,0.5,1
2,1,-1,1,0.75,1
2,1,1,1,1.25,1
2,1,1,-1,1.5,1
2,1,-1,1,0.5,1
2,-1,-1,-1,1.5,1
2,1,1,-1,1.5,1
2,-1,1,-1,0.75,1
2,-1,1,-1,0.5,1
2,-1,-1,-1,1.5,1
2,1,1,1,0.75,1
2,-1,1,-1,0.5,2
2,1,1,1,1.5,2
2,-1,-1,-1,1.25,2
2,-1,-1,-1,0.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.5,2
2,1,1,-1,0.5,2
2,-1,-1,1,1.5,2
2,1,1,-1,1.25,2
2,1,1,1,0.75,2
2,1,1,-1,1.25,2
2,-1,-1,-1,1.5,2
2,1,-1,1,0.5,2
2,1,1,1,1.25,2
2,1,1,-1,1.25,2
2,-1,-1,-1,0.75,2
2,-1,-1,-1,1.25,2
2,1,1,-1,0.75,2
2,-1,-1,-1,0.5,2
2,1,1,-1,0.75,2
2,1,1,1,1.5,2
2,1,-1,1,0.5,2
2,1,-1,1,0.75,1
2,-1,-1,-1,0.75,1
2,1,1,1,0.5,1
2,1,1,1,1.25,1
2,1,1,-1,1.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,1.25,2
2,1,1,-1,0.75,2
2,1,-1,1,0.75,1
2,-1,-1,-1,1.25,1
2,1,1,-1,1.5,2
2,1,1,-1,1.5,1
2,1,1,1,0.5,1
2,-1,-1,-1,0.75,2
2,1,-1,1,0.5,2
2,-1,-1,1,0.75,2
2,1,1,1,1.5,2
2,-1,-1,-1,0.5,2
2,1,-1,1,0.5,1
2,-1,-1,-1,1.25,1
2,1,1,1,0.75,1
2,-1,-1,-1,0.75,1
2,1,1,1,1.5,1
2,1,1,1,1.5,1
2,1,1,1,1.25,1
2,1,1,-1,0.75,1
2,1,-1,1,1.25,1
2,1,1,1,0.5,1
2,1,1,-1,1.25,2
2,1,1,-1,1.25,2
2,1,1,-1,1.25,2
2,1,1,1,0.75,2
2,-1,1,-1,0.75,1
2,-1,-1,-1,0.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,0.75,1
2,-1,-1,-1,0.75,1
2,-1,-1,1,1.5,1
2,-1,1,-1,0.5,1
2,-1,-1,-1,1.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,1.5,1
2,1,1,1,0.75,1
2,-1,1,-1,0.75,1
2,1,-1,1,1.5,1
2,1,-1,1,0.75,1
2,1,1,1,1.25,2
2,1,1,-1,1.25,2
2,1,1,-1,1.5,1
2,-1,1,-1,1.25,1
2,1,1,1,1.25,1
2,1,1,-1,1.25,1
2,1,-1,1,1.5,1
2,1,1,1,1.5,1
2,1,-1,1,0.5,1
2,-1,1,-1,0.5,1
2,1,1,-1,0.5,1
2,1,1,1,1.5,1
2,1,-1,1,0.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,1.25,1
2,1,-1,1,0.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,1.5,1
2,-1,-1,-1,1.5,1
2,-1,1,-1,1.25,1
2,1,1,-1,1.25,1
2,-1,1,-1,0.5,1
2,1,1,1,1.25,1
2,-1,-1,-1,1.25,1
2,1,1,-1,0.5,1
2,-1,-1,-1,0.75,1
2,-1,-1,-1,1.25,2
2,1,1,1,0.5,2
2,1,1,1,1.25,2
2,1,-1,1,0.5,2
2,1,1,1,0.75,2
2,1,1,-1,1.25,2
2,-1,-1,-1,0.75,2
2,-1,-1,-1,1.25,2
2,1,-1,1,0.75,2
2,1,1,1,0.5,2
2,1,1,-1,1.5,2
2,-1,-1,1,1.25,2
2,1,1,1,1.25,2
2,1,1,1,1.25,2
2,1,-1,1,1.25,2
2,-1,-1,-1,1.5,2
2,1,1,-1,1.25,2
2,1,1,-1,0.5,2
2,-1,-1,-1,0.75,2
2,-1,-1,1,1.5,2
2,1,-1,1,0.5,2
2,-1,-1,-1,0.75,1
2,-1,-1,-1,1.5,1
2,1,1,1,1.5,1
2,-1,-1,-1,0.5,1
2,-1,-1,-1,1.5,1
2,-1,-1,-1,0.5,1
2,1,1,1,0.75,1
2,-1,-1,-1,0.75,1
2,1,1,1,0.75,1
2,1,-1,1,0.5,1
2,1,-1,1,0.75,1
2,-1,-1,-1,1.25,1
2,1,1,-1,1.5,1
2,-1,-1,-1,0.5,1
2,-1,1,-1,0.75,1
2,-1,-1,-1,0.75,1
2,-1,-1,-1,0.75,1
2,1,1,1,0.5,1
2,1,-1,1,0.5,1
2,-1,1,-1,0.75,1
2,-1,1,-1,0.5,1
2,1,1,-1,1.5,1
2,1,1,1,1.25,1
2,1,1,1,1.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,1.25,1
2,-1,1,-1,0.5,1
2,-1,-1,-1,1.5,1
2,1,1,1,1.25,1
2,1,1,1,1.5,1
2,1,1,-1,0.75,2
2,1,1,1,1.25,2
2,1,-1,1,0.5,2
2,-1,-1,1,1.5,2
2,1,1,1,1.25,1
2,-1,1,-1,0.5,1
2,1,1,1,1.25,1
2,1,1,1,0.75,2
2,1,1,1,0.5,2
2,1,1,1,0.5,2
2,-1,1,-1,0.5,2
2,1,-1,1,0.5,2
2,1,1,1,1.25,2
2,-1,-1,1,1.5,2
2,1,1,1,1.25,2
2,-1,-1,1,1.25,2
2,1,1,-1,1.25,2
2,-1,-1,-1,1.5,2
2,-1,-1,-1,1.25,2
2,1,1,1,1.25,2
2,-1,1,-1,1.5,1
2,1,1,-1,1.25,1
2,-1,1,-1,0.75,1
2,1,1,1,1.5,1
2,1,1,1,0.75,1
2,1,1,-1,1.25,1
2,1,1,1,1.25,1
2,1,1,-1,1.25,1
2,-1,1,-1,0.5,1
2,-1,-1,-1,0.5,1
2,1,1,1,0.75,1
2,-1,-1,-1,1.5,1
2,1,1,1,1.25,1
2,1,-1,1,0.75,2
2,-1,-1,-1,0.75,2
2,1,1,-1,1.5,2
2,1,1,1,1.25,2
2,1,1,1,1.25,2
2,-1,-1,-1,0.5,2
2,1,1,1,0.75,2
2,1,1,1,1.25,2
2,1,-1,1,0.75,2
2,1,1,-1,0.75,2
2,1,1,1,0.75,1
2,1,-1,1,1.5,1
2,1,1,-1,0.75,1
2,-1,-1,-1,1.25,1
2,-1,-1,-1,0.75,1
2,1,-1,1,1.25,1
2,1,1,-1,1.5,1
2,1,1,1,1.25,1
2,1,1,1,1.5,1
2,1,1,1,0.5,1
2,1,1,1,1.5,1
2,1,1,1,0.5,1
2,1,1,1,0.75,1
2,1,-1,1,0.5,1
2,1,1,1,1.5,2
2,-1,-1,-1,0.5,2
2,-1,-1,-1,0.5,2
2,1,-1,1,0.5,2
2,-1,-1,-1,1.25,2
2,1,1,1,0.5,2
2,1,1,-1,0.75,2
2,-1,-1,-1,1.5,2
2,-1,-1,-1,1.25,2
2,1,1,1,1.5,2
2,1,-1,1,0.5,2
2,1,-1,1,0.75,2
2,1,1,1,1.25,2
2,1,1,1,1.25,2
2,-1,-1,1,1.5,2
2,-1,-1,-1,0.5,2
2,1,-1,1,0.75,2
2,1,1,-1,0.5,2
2,1,1,-1,1.5,2
2,1,1,-1,1.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.5,2
2,-1,-1,-1,0.75,2
2,1,1,-1,0.5,2
2,1,1,-1,0.75,2
2,-1,-1,-1,1.5,2
2,-1,-1,-1,1.25,2
2,-1,-1,-1,1.25,2
2,1,1,1,1.25,2
2,-1,-1,-1,1.25,2
2,-1,-1,-1,1.5,1
2,-1,-1,-1,1.25,1
2,1,1,1,0.5,1
2,1,1,1,1.25,1
2,1,1,1,0.5,1
2,-1,-1,-1,1.5,1
2,1,-1,1,0.5,2
2,-1,1,-1,0.75,1
2,-1,-1,-1,1.25,1
2,1,1,-1,0.75,1
2,-1,-1,1,1.5,2
2,-1,-1,-1,1.25,2
2,1,-1,1,0.5,2
2,1,1,-1,1.25,2
2,1,1,1,0.5,2
2,1,1,-1,1.25,2
2,-1,-1,-1,1.25,2
2,-1,-1,-1,0.5,2
2,-1,-1,-1,0.5,2
2,1,-1,1,0.5,2
2,1,1,-1,0.5,2
2,1,1,-1,0.5,2
2,1,1,-1,1.5,2
2,1,1,1,0.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.5,2
2,-1,-1,-1,1.5,2
2,1,1,1,0.75,2
2,1,1,-1,1.25,2
2,1,1,-1,1.5,2
2,-1,-1,1,1.5,2
2,-1,-1,-1,0.5,2
