,Unnamed: 0,block,resp,theta,previous,contrast,state,stim*contrast,ID,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
24,24,1,0,1,-1,0.05,2,0.05,1,0,25,1,0,0.8951239102841392,0.104876089716693,2
25,25,1,1,1,1,0.02,2,0.02,1,1,26,1,1,0.8315960889104272,0.1684039110892466,2
26,26,1,1,1,1,0.1,2,0.1,1,1,27,1,1,0.7147478227814765,0.285252177217852,2
27,27,1,0,-1,1,0.02,2,-0.02,1,1,28,0,1,0.5228202444041656,0.4771797555966288,2
28,28,1,1,-1,1,0.02,2,-0.02,1,0,29,1,0,0.5681716534379546,0.4318283465625243,2
29,29,1,1,1,1,0.05,2,0.05,1,1,30,1,1,0.5502344007472507,0.4497655992524937,2
30,30,1,1,-1,-1,0.1,1,-0.1,1,0,31,0,0,0.4733795229848614,0.5266204770160385,1
31,31,1,1,1,1,0.02,2,0.02,1,1,32,1,1,0.6802807906372753,0.3197192093622817,2
32,32,1,1,1,1,0.1,2,0.1,1,1,33,1,1,0.7902592482161287,0.2097407517831681,2
33,33,1,1,-1,1,0.02,2,-0.02,1,0,34,1,0,0.855504647252346,0.1444953527481095,2
34,34,1,1,-1,1,0.05,2,-0.05,1,0,35,1,0,0.8817515455832867,0.11824845441593,2
35,35,1,1,1,1,0.05,2,0.05,1,1,36,1,1,0.8779906207836837,0.1220093792166667,2
36,36,1,0,-1,-1,0.02,2,-0.02,1,1,37,1,1,0.852943935652768,0.1470560643472457,2
37,37,1,0,-1,-1,0.01,2,-0.01,1,1,38,1,1,0.7931305805885455,0.2068694194111901,2
38,38,1,0,-1,1,0.02,2,-0.02,1,1,39,0,1,0.6726827740724786,0.3273172259275607,2
39,39,1,0,1,-1,0.01,2,0.01,1,0,40,1,0,0.7601055597869565,0.2398944402123437,2
40,40,1,0,-1,-1,0.05,2,-0.05,1,1,41,1,1,0.7916092954561407,0.2083907045437084,2
41,41,1,0,-1,-1,0.02,2,-0.02,1,1,42,1,1,0.7884216607159121,0.2115783392836627,2
42,42,1,0,1,-1,0.05,2,0.05,1,0,43,1,0,0.7455332644282356,0.2544667355717124,2
43,43,1,1,-1,1,0.05,2,-0.05,1,0,44,1,0,0.6315585271413745,0.3684414728581733,2
44,44,1,0,1,1,0.1,2,0.1,1,0,45,0,0,0.3895884381467704,0.6104115618538208,1
45,45,1,0,-1,-1,0.05,2,-0.05,1,1,46,1,1,0.4341436830526683,0.565856316947686,1
46,46,1,1,-1,1,0.05,1,-0.05,1,0,47,1,0,0.4184783989432564,0.581521601057169,1
47,47,1,0,1,-1,0.1,1,0.1,1,0,48,1,0,0.3202523568456888,0.6797476431539501,1
48,48,1,1,1,-1,0.1,1,0.1,1,1,49,0,1,0.0659703128383911,0.934029687162496,1
49,49,1,1,-1,-1,0.01,1,-0.01,1,0,50,0,0,0.019325978880776,0.9806740211185064,1
50,50,1,1,1,-1,0.1,1,0.1,1,1,51,0,1,0.023616892226622,0.9763831077726008,1
51,51,1,0,1,-1,0.02,1,0.02,1,0,52,1,0,0.078861319611944,0.9211386803882368,1
52,52,1,0,1,-1,0.02,1,0.02,1,0,53,1,0,0.076034770454781,0.9239652295443452,1
53,53,1,1,1,-1,0.02,1,0.02,1,1,54,0,1,0.0138051602711998,0.9861948397292812,1
54,54,1,0,-1,1,0.02,1,-0.02,1,1,55,0,1,0.0043674882096255,0.995632511791083,1
55,55,1,0,1,1,0.01,1,0.01,1,0,56,0,0,0.0027214844040321,0.9972785155956254,1
56,56,1,1,1,-1,0.05,1,0.05,1,1,57,0,1,0.0029444883770589,0.9970555116237746,1
57,57,1,1,1,-1,0.01,1,0.01,1,1,58,0,1,0.004789051472815,0.995210948527628,1
58,58,1,0,1,1,0.05,1,0.05,1,0,59,0,0,0.0186361964238417,0.9813638035752624,1
59,59,1,0,-1,-1,0.1,1,-0.1,1,1,60,1,1,0.1185395416948137,0.8814604583043606,1
60,60,1,1,1,1,0.02,1,0.02,1,1,61,1,1,0.1560022096024661,0.8439977903980211,1
61,61,1,0,-1,-1,0.02,1,-0.02,1,1,62,1,1,0.1346468498684531,0.865353150131878,1
62,62,1,1,-1,-1,0.02,1,-0.02,1,0,63,0,0,0.0449762969571993,0.9550237030435073,1
63,63,1,1,-1,-1,0.05,1,-0.05,1,0,64,0,0,0.0519576903547631,0.9480423096459224,1
64,64,1,0,-1,-1,0.05,1,-0.05,1,1,65,1,1,0.2035572131939641,0.7964427868064101,1
65,65,1,1,-1,1,0.05,1,-0.05,1,0,66,1,0,0.2686347862236949,0.7313652137759163,1
66,66,1,0,-1,1,0.05,1,-0.05,1,1,67,0,1,0.2584292363537475,0.7415707636462935,1
67,67,1,0,-1,-1,0.05,1,-0.05,1,1,68,1,1,0.458244709453207,0.5417552905460009,1
68,68,1,0,1,-1,0.05,1,0.05,1,0,69,1,0,0.5582472178976873,0.4417527821025666,2
69,69,1,0,1,-1,0.01,1,0.01,1,0,70,1,0,0.5785065768879978,0.421493423111526,2
70,70,1,0,-1,1,0.02,1,-0.02,1,1,71,0,1,0.5363716220098173,0.4636283779909586,2
71,71,1,1,1,1,0.1,2,0.1,1,1,72,1,1,0.7350171612264182,0.264982838773089,2
72,72,1,1,-1,1,0.1,2,-0.1,1,0,73,1,0,0.857529667559377,0.1424703324398036,2
73,73,1,0,1,-1,0.01,2,0.01,1,0,74,1,0,0.911788080794158,0.088211919206226,2
74,74,1,0,-1,-1,0.05,2,-0.05,1,1,75,1,1,0.938795881775702,0.0612041182249468,2
75,75,1,0,1,-1,0.01,2,0.01,1,0,76,1,0,0.9548533525546729,0.0451466474450694,2
76,76,1,0,-1,-1,0.1,2,-0.1,1,1,77,1,1,0.9620409988393248,0.0379590011614941,2
77,77,1,1,-1,1,0.1,2,-0.1,1,0,78,1,0,0.9694219957758116,0.0305780042233282,2
78,78,1,1,1,1,0.01,2,0.01,1,1,79,1,1,0.9695998074460672,0.0304001925539956,2
79,79,1,1,1,1,0.05,2,0.05,1,1,80,1,1,0.9687070296431156,0.0312929703568153,2
80,80,1,1,1,1,0.02,2,0.02,1,1,81,1,1,0.9683818534369264,0.0316181465628374,2
81,81,1,1,1,1,0.01,2,0.01,1,1,82,1,1,0.9670301100209135,0.0329698899798199,2
82,82,1,1,1,1,0.01,2,0.01,1,1,83,1,1,0.9636068298329544,0.0363931701664192,2
83,83,1,1,1,1,0.01,2,0.01,1,1,84,1,1,0.956745662379432,0.0432543376212132,2
84,84,1,1,-1,1,0.1,2,-0.1,1,0,85,1,0,0.943708076463015,0.0562919235361996,2
85,85,1,1,1,1,0.01,2,0.01,1,1,86,1,1,0.9096208065035092,0.0903791934973291,2
86,86,1,1,-1,1,0.05,2,-0.05,1,0,87,1,0,0.8484965597041658,0.151503440296505,2
87,87,1,0,-1,-1,0.02,2,-0.02,1,1,88,1,1,0.7236995131071753,0.2763004868922313,2
88,88,1,1,1,-1,0.02,1,0.02,1,1,89,0,1,0.493567471423847,0.5064325285760348,1
89,89,1,0,-1,-1,0.01,1,-0.01,1,1,90,1,1,0.5275566585199741,0.4724433414796661,2
90,90,1,1,1,-1,0.05,1,0.05,1,1,91,0,1,0.4995946958942169,0.5004053041054171,1
91,91,1,1,-1,1,0.05,1,-0.05,1,0,92,1,0,0.7259635627397913,0.274036437260358,2
92,92,1,1,1,1,0.1,2,0.1,1,1,93,1,1,0.8363432240146828,0.1636567759844278,2
93,93,1,1,-1,1,0.01,2,-0.01,1,0,94,1,0,0.905720762579013,0.0942792374209798,2
94,94,1,0,1,-1,0.1,2,0.1,1,0,95,1,0,0.9431214075754076,0.0568785924249861,2
95,95,1,1,1,1,0.02,2,0.02,1,1,96,1,1,0.9576076426573368,0.0423923573418651,2
96,96,1,1,-1,1,0.01,2,-0.01,1,0,97,1,0,0.9665504173893784,0.0334495826097834,2
97,97,1,1,-1,1,0.05,2,-0.05,1,0,98,1,0,0.9718416204313696,0.0281583795684732,2
98,98,1,0,1,-1,0.01,2,0.01,1,0,99,1,0,0.9737970922470328,0.0262029077521838,2
99,99,1,1,-1,1,0.05,2,-0.05,1,0,100,1,0,0.9749086499578496,0.0250913500420816,2
100,100,1,0,1,-1,0.02,2,0.02,1,0,101,1,0,0.9742122880928442,0.0257877119072518,2
101,101,1,1,1,1,0.1,2,0.1,1,1,102,1,1,0.9723669541110652,0.0276330458888435,2
102,102,1,1,-1,1,0.01,2,-0.01,1,0,103,1,0,0.9745594976464,0.0254405023542956,2
103,103,1,0,1,-1,0.1,2,0.1,1,0,104,1,0,0.9766808603555472,0.0233191396453108,2
104,104,1,0,-1,-1,0.01,2,-0.01,1,1,105,1,1,0.9748374960201704,0.0251625039797722,2
105,105,1,1,1,1,0.1,2,0.1,1,1,106,1,1,0.9735619594501088,0.026438040550641,2
106,106,1,0,1,-1,0.1,2,0.1,1,0,107,1,0,0.9767152077625828,0.0232847922369253,2
107,107,1,1,-1,1,0.1,2,-0.1,1,0,108,1,0,0.9759081967898552,0.0240918032105741,2
108,108,1,0,-1,-1,0.01,2,-0.01,1,1,109,1,1,0.9712084430647698,0.0287915569352473,2
109,109,1,1,-1,1,0.01,2,-0.01,1,0,110,1,0,0.965381399717301,0.0346186002822156,2
110,110,1,1,-1,1,0.01,2,-0.01,1,0,111,1,0,0.9553817982999172,0.0446182017002687,2
111,111,1,1,1,1,0.01,2,0.01,1,1,112,1,1,0.936868669305404,0.0631313306953155,2
112,112,1,1,1,1,0.01,2,0.01,1,1,113,1,1,0.903624420440764,0.0963755795592877,2
113,113,1,1,1,1,0.01,2,0.01,1,1,114,1,1,0.8423801127002669,0.1576198872990634,2
114,114,1,1,-1,1,0.01,2,-0.01,1,0,115,1,0,0.7286910071700097,0.2713089928296421,2
115,115,1,0,-1,1,0.05,2,-0.05,1,1,116,0,1,0.5106872451548363,0.4893127548443566,2
116,116,1,0,-1,-1,0.05,2,-0.05,1,1,117,1,1,0.5354621624837796,0.4645378375163847,2
117,117,1,1,-1,1,0.02,2,-0.02,1,0,118,1,0,0.5045027317466716,0.4954972682539327,2
118,118,1,0,-1,-1,0.05,2,-0.05,1,1,119,1,1,0.3949052092593921,0.6050947907405697,1
119,119,1,1,-1,-1,0.1,1,-0.1,1,0,120,0,0,0.1773934936595854,0.8226065063403397,1
120,120,1,0,-1,-1,0.01,1,-0.01,1,1,121,1,1,0.2005782255861857,0.7994217744138504,1
121,121,1,0,1,-1,0.05,1,0.05,1,0,122,1,0,0.1600375447417009,0.8399624552574994,1
122,122,1,1,1,-1,0.02,1,0.02,1,1,123,0,1,0.0267688745324874,0.973231125468137,1
123,123,1,1,-1,-1,0.01,1,-0.01,1,0,124,0,0,0.0063374993043908,0.9936625006950746,1
124,124,1,0,-1,1,0.1,1,-0.1,1,1,125,0,1,0.0051043840405448,0.9948956159594572,1
125,125,1,0,-1,1,0.05,1,-0.05,1,1,126,0,1,0.0089749442193173,0.9910250557808334,1
126,126,1,1,-1,1,0.1,1,-0.1,1,0,127,1,0,0.0351746280278612,0.964825371971714,1
127,127,1,0,-1,1,0.01,1,-0.01,1,1,128,0,1,0.0122625052905457,0.9877374947095556,1
128,128,1,0,-1,1,0.01,1,-0.01,1,1,129,0,1,0.0175349590844487,0.9824650409149952,1
129,129,1,0,1,1,0.02,1,0.02,1,0,130,0,0,0.0740545717830098,0.92594542821644,1
130,130,1,0,-1,-1,0.1,2,-0.1,1,1,131,1,1,0.4554683549958392,0.5445316450041527,1
131,131,1,0,1,-1,0.01,2,0.01,1,0,132,1,0,0.6827079836824739,0.3172920163167033,2
132,132,1,0,-1,-1,0.02,2,-0.02,1,1,133,1,1,0.797240735295559,0.2027592647049828,2
133,133,1,1,1,1,0.05,2,0.05,1,1,134,1,1,0.8548636559254491,0.1451363440749395,2
134,134,1,1,-1,1,0.1,2,-0.1,1,0,135,1,0,0.882380099166863,0.1176199008332621,2
135,135,1,0,-1,-1,0.1,2,-0.1,1,1,136,1,1,0.8748777188514772,0.125122281148516,2
136,136,1,1,1,1,0.05,2,0.05,1,1,137,1,1,0.8490740342804398,0.1509259657199147,2
137,137,1,1,-1,1,0.05,2,-0.05,1,0,138,1,0,0.7927216821512698,0.2072783178486165,2
138,138,1,1,1,-1,0.02,2,0.02,1,1,139,0,1,0.6666596206170596,0.3333403793821554,2
139,139,1,0,1,-1,0.05,2,0.05,1,0,140,1,0,0.758818357057795,0.2411816429429475,2
140,140,1,0,1,-1,0.05,2,0.05,1,0,141,1,0,0.7882145820338295,0.2117854179655628,2
141,141,1,1,-1,1,0.05,2,-0.05,1,0,142,1,0,0.7705419991978182,0.2294580008021616,2
142,142,1,1,-1,1,0.1,2,-0.1,1,0,143,1,0,0.6981105097213856,0.3018894902785887,2
143,143,1,1,1,1,0.05,2,0.05,1,1,144,1,1,0.519181192493737,0.4808188075060211,2
144,144,1,0,1,1,0.02,2,0.02,1,0,145,0,0,0.199750376954596,0.800249623045518,1
145,145,1,0,-1,1,0.05,2,-0.05,1,1,146,0,1,0.1772051759047233,0.8227948240948911,1
146,146,1,1,1,1,0.05,2,0.05,1,1,147,1,1,0.3141629871230577,0.685837012876314,1
147,147,1,1,1,1,0.05,2,0.05,1,1,148,1,1,0.3706648359855455,0.6293351640147775,1
148,148,1,1,1,1,0.1,2,0.1,1,1,149,1,1,0.365735146792857,0.6342648532079062,1
149,149,1,1,-1,1,0.01,2,-0.01,1,0,150,1,0,0.304951637558851,0.695048362442002,1
150,150,1,0,1,1,0.1,1,0.1,1,0,151,0,0,0.1477488984189545,0.8522511015809195,1
151,151,1,0,-1,-1,0.1,1,-0.1,1,1,152,1,1,0.1801116495433084,0.8198883504571404,1
152,152,1,0,1,-1,0.1,1,0.1,1,0,153,1,0,0.1597442539851522,0.8402557460143693,1
153,153,1,1,-1,-1,0.02,1,-0.02,1,0,154,0,0,0.0487306244053709,0.9512693755950956,1
154,154,1,1,-1,-1,0.02,1,-0.02,1,0,155,0,0,0.0496535584981267,0.9503464415026168,1
155,155,1,1,-1,1,0.1,1,-0.1,1,0,156,1,0,0.1673788537903519,0.8326211462102798,1
156,156,1,1,-1,1,0.02,1,-0.02,1,0,157,1,0,0.1929173894944297,0.8070826105055463,1
157,157,1,1,1,1,0.01,1,0.01,1,1,158,1,1,0.1527528486973713,0.8472471513023881,1
158,158,1,1,1,-1,0.02,1,0.02,1,1,159,0,1,0.0343050442899093,0.9656949557094529,1
159,159,1,0,1,1,0.01,2,0.01,1,0,160,0,0,0.0213429029324664,0.97865709706743,1
160,160,1,0,-1,-1,0.1,1,-0.1,1,1,161,1,1,0.0537233943010232,0.9462766056987412,1
161,161,1,0,-1,1,0.01,1,-0.01,1,1,162,0,1,0.0435299643325385,0.9564700356676644,1
162,162,1,1,-1,1,0.1,1,-0.1,1,0,163,1,0,0.1108474330050696,0.8891525669949959,1
163,163,1,1,-1,1,0.02,1,-0.02,1,0,164,1,0,0.1069495578442575,0.8930504421552764,1
164,164,1,1,1,-1,0.02,1,0.02,1,1,165,0,1,0.0398809873942821,0.9601190126057064,1
165,165,1,0,1,-1,0.01,1,0.01,1,0,166,1,0,0.0496053871493226,0.9503946128506456,1
166,166,1,0,-1,1,0.01,1,-0.01,1,1,167,0,1,0.0098132695758429,0.9901867304239704,1
167,167,1,1,-1,-1,0.1,1,-0.1,1,0,168,0,0,0.0030748665158278,0.9969251334835,1
168,168,1,0,-1,1,0.1,1,-0.1,1,1,169,0,1,0.0047499228484178,0.9952500771524329,1
169,169,1,1,1,-1,0.02,1,0.02,1,1,170,0,1,0.0110796665056732,0.9889203334944814,1
170,170,1,1,1,-1,0.01,1,0.01,1,1,171,0,1,0.0562303790055539,0.9437696209939678,1
171,171,1,0,-1,-1,0.01,1,-0.01,1,1,172,1,1,0.3574467734313069,0.6425532265677985,1
172,172,1,0,-1,-1,0.05,1,-0.05,1,1,173,1,1,0.5080468318462348,0.4919531681540699,2
173,173,1,0,1,-1,0.02,2,0.02,1,0,174,1,0,0.5771657070511628,0.4228342929494389,2
174,174,1,0,-1,-1,0.05,2,-0.05,1,1,175,1,1,0.5790877741041449,0.4209122258962463,2
175,175,1,0,1,-1,0.1,2,0.1,1,0,176,1,0,0.5261529859140301,0.4738470140868131,2
176,176,1,0,-1,-1,0.05,2,-0.05,1,1,177,1,1,0.36143640925907,0.6385635907407631,1
177,177,1,1,-1,-1,0.02,2,-0.02,1,0,178,0,0,0.05374371427916,0.946256285719991,1
178,178,1,1,1,-1,0.05,1,0.05,1,1,179,0,1,0.0109566474478504,0.9890433525523656,1
179,179,1,1,1,-1,0.02,1,0.02,1,1,180,0,1,0.0037845745671584,0.9962154254322108,1
180,180,1,0,-1,1,0.01,2,-0.01,1,1,181,0,1,0.0031918530989682,0.9968081469017944,1
181,181,1,0,-1,1,0.05,1,-0.05,1,1,182,0,1,0.0056290808275838,0.9943709191727396,1
182,182,1,1,1,-1,0.1,1,0.1,1,1,183,0,1,0.0189456254362055,0.9810543745634686,1
183,183,1,1,1,1,0.01,1,0.01,1,1,184,1,1,0.089225081767862,0.9107749182315956,1
184,184,1,0,-1,-1,0.02,1,-0.02,1,1,185,1,1,0.0997751364498064,0.900224863549879,1
185,185,1,0,1,1,0.1,1,0.1,1,0,186,0,0,0.0548847617789597,0.9451152382209326,1
186,186,1,1,-1,1,0.02,1,-0.02,1,0,187,1,0,0.1068476257716213,0.893152374228015,1
187,187,1,0,1,1,0.01,1,0.01,1,0,188,0,0,0.0988459490246119,0.9011540509753444,1
188,188,1,0,-1,-1,0.1,1,-0.1,1,1,189,1,1,0.2369903751987724,0.7630096248017764,1
189,189,1,1,1,1,0.1,1,0.1,1,1,190,1,1,0.2997928557826719,0.7002071442177815,1
190,190,1,1,-1,-1,0.01,1,-0.01,1,0,191,0,0,0.3058822577465491,0.6941177422535123,1
191,191,1,1,-1,1,0.01,2,-0.01,1,0,192,1,0,0.6312361686895993,0.3687638313100335,2
192,192,1,1,-1,1,0.01,2,-0.01,1,0,193,1,0,0.8021188203715545,0.1978811796291186,2
193,193,1,0,1,-1,0.1,2,0.1,1,0,194,1,0,0.8927128075840924,0.1072871924166007,2
194,194,1,0,1,-1,0.05,2,0.05,1,0,195,1,0,0.9315560265063176,0.0684439734936499,2
195,195,1,0,-1,-1,0.02,2,-0.02,1,1,196,1,1,0.9480020592810964,0.0519979407190994,2
196,196,1,0,-1,-1,0.1,2,-0.1,1,1,197,1,1,0.95545032554343,0.0445496744570035,2
197,197,1,0,-1,-1,0.05,2,-0.05,1,1,198,1,1,0.9613364504087324,0.0386635495918564,2
198,198,1,0,1,-1,0.02,2,0.02,1,0,199,1,0,0.9647680390490196,0.0352319609513238,2
199,199,1,0,1,-1,0.01,2,0.01,1,0,200,1,0,0.9631457917645992,0.0368542082346855,2
200,200,1,0,-1,-1,0.02,2,-0.02,1,1,201,1,1,0.9563132829635344,0.043686717036731,2
201,201,1,1,-1,1,0.1,2,-0.1,1,0,202,1,0,0.9432160647574584,0.0567839352432904,2
202,202,1,0,-1,-1,0.01,2,-0.01,1,1,203,1,1,0.90886426709837,0.091135732902123,2
203,203,1,1,-1,1,0.02,2,-0.02,1,0,204,1,0,0.846024071564511,0.1539759284358287,2
204,204,1,0,-1,1,0.05,2,-0.05,1,1,205,0,1,0.7244095974793706,0.2755904025209983,2
205,205,1,1,1,1,0.05,2,0.05,1,1,206,1,1,0.7959829194758345,0.2040170805243154,2
206,206,1,0,-1,-1,0.02,2,-0.02,1,1,207,1,1,0.8276329970340046,0.1723670029653925,2
207,207,1,0,1,-1,0.05,2,0.05,1,0,208,1,0,0.8259587472492267,0.1740412527501702,2
208,208,1,0,1,-1,0.01,2,0.01,1,0,209,1,0,0.7811482744521495,0.2188517255478873,2
209,209,1,1,-1,-1,0.02,2,-0.02,1,0,210,0,0,0.6775181766420337,0.3224818233582457,2
210,210,1,0,-1,-1,0.05,2,-0.05,1,1,211,1,1,0.8036318976260327,0.1963681023746165,2
211,211,1,0,1,-1,0.05,2,0.05,1,0,212,1,0,0.8735807682990766,0.1264192317002255,2
212,212,1,1,1,1,0.05,2,0.05,1,1,213,1,1,0.9015516399232296,0.0984483600765421,2
213,213,1,1,-1,1,0.01,2,-0.01,1,0,214,1,0,0.9118531312408888,0.0881468687593541,2
214,214,1,0,1,-1,0.05,2,0.05,1,0,215,1,0,0.9030929518703096,0.0969070481304411,2
215,215,1,1,-1,1,0.02,2,-0.02,1,0,216,1,0,0.8661308146184745,0.1338691853809492,2
216,216,1,0,1,-1,0.1,2,0.1,1,0,217,1,0,0.7877654372019008,0.2122345627972038,2
217,217,1,0,-1,-1,0.1,2,-0.1,1,1,218,1,1,0.6068723967434625,0.3931276032557722,2
218,218,1,1,-1,-1,0.01,2,-0.01,1,0,219,0,0,0.3067188972459382,0.6932811027548488,1
219,219,1,0,1,-1,0.02,2,0.02,1,0,220,1,0,0.308037908191739,0.6919620918085385,1
220,220,1,1,-1,1,0.05,1,-0.05,1,0,221,1,0,0.2346504001167267,0.7653495998837018,1
221,221,1,0,-1,1,0.05,1,-0.05,1,1,222,0,1,0.0462096187853715,0.9537903812154712,1
222,222,1,1,-1,-1,0.05,1,-0.05,1,0,223,0,0,0.0137344632756379,0.9862655367244532,1
223,223,1,0,1,1,0.01,1,0.01,1,0,224,0,0,0.0211839574280529,0.9788160425718372,1
224,224,1,1,1,1,0.1,1,0.1,1,1,225,1,1,0.0958677862628693,0.9041322137379352,1
225,225,1,0,1,-1,0.1,2,0.1,1,0,226,1,0,0.1166129226226068,0.8833870773776441,1
226,226,1,1,-1,-1,0.02,1,-0.02,1,0,227,0,0,0.0679659478607294,0.9320340521400354,1
227,227,1,1,1,-1,0.01,1,0.01,1,1,228,0,1,0.1200541716895171,0.8799458283109787,1
228,228,1,1,1,1,0.05,1,0.05,1,1,229,1,1,0.5175351293618474,0.4824648706377261,2
229,229,1,0,1,-1,0.05,1,0.05,1,0,230,1,0,0.7439610998945402,0.2560389001057324,2
230,230,1,1,1,1,0.01,1,0.01,1,1,231,1,1,0.8534510115216052,0.1465489884777658,2
231,231,1,0,1,-1,0.05,2,0.05,1,0,232,1,0,0.9130868785133568,0.0869131214866784,2
232,232,1,1,-1,1,0.01,2,-0.01,1,0,233,1,0,0.9405219631550212,0.0594780368458065,2
233,233,1,0,-1,-1,0.02,2,-0.02,1,1,234,1,1,0.9539080710257234,0.0460919289748434,2
234,234,1,1,1,1,0.05,2,0.05,1,1,235,1,1,0.9602983348983808,0.0397016651024075,2
235,235,1,1,1,1,0.02,2,0.02,1,1,236,1,1,0.9643546414113164,0.0356453585878143,2
236,236,1,1,1,1,0.1,2,0.1,1,1,237,1,1,0.9659035944985522,0.0340964055019382,2
237,237,1,1,1,1,0.02,2,0.02,1,1,238,1,1,0.9694349300242588,0.0305650699763284,2
238,238,1,0,1,-1,0.01,2,0.01,1,0,239,1,0,0.9722585047785106,0.0277414952212563,2
239,239,1,1,-1,1,0.05,2,-0.05,1,0,240,1,0,0.9735612674238,0.0264387325757252,2
240,240,1,1,1,1,0.01,2,0.01,1,1,241,1,1,0.9724261499323944,0.0275738500673375,2
241,241,1,1,-1,1,0.01,2,-0.01,1,0,242,1,0,0.9713142676199836,0.0286857323802602,2
242,242,1,1,-1,1,0.02,2,-0.02,1,0,243,1,0,0.9687785918657648,0.0312214081340758,2
243,243,1,1,1,1,0.1,2,0.1,1,1,244,1,1,0.9631730717340352,0.0368269282657176,2
244,244,1,1,1,1,0.01,2,0.01,1,1,245,1,1,0.9586445996603008,0.0413554003396773,2
245,245,1,0,-1,-1,0.1,2,-0.1,1,1,246,1,1,0.9488495554861124,0.051150444514495,2
246,246,1,0,1,-1,0.01,2,0.01,1,0,247,1,0,0.935361379719242,0.0646386202803602,2
247,247,1,0,-1,-1,0.05,2,-0.05,1,1,248,1,1,0.9054269076254884,0.0945730923753409,2
248,248,1,0,1,-1,0.05,2,0.05,1,0,249,1,0,0.8527950025076444,0.1472049974928914,2
249,249,1,1,-1,1,0.01,2,-0.01,1,0,250,1,0,0.7405454418175459,0.2594545581832394,2
250,250,1,0,-1,-1,0.01,1,-0.01,1,1,251,1,1,0.5262126202100917,0.4737873797903862,2
251,251,1,1,1,-1,0.02,1,0.02,1,1,252,0,1,0.1228885068907532,0.8771114931093197,1
252,252,1,1,-1,-1,0.01,1,-0.01,1,0,253,0,0,0.0681314056335908,0.9318685943657364,1
253,253,1,0,-1,-1,0.05,1,-0.05,1,1,254,1,1,0.1126295694646234,0.8873704305362302,1
254,254,1,1,1,1,0.05,1,0.05,1,1,255,1,1,0.1030509823559111,0.8969490176434363,1
255,255,1,0,1,1,0.02,1,0.02,1,0,256,0,0,0.0370202860923895,0.9629797139075972,1
256,256,1,0,-1,1,0.02,1,-0.02,1,1,257,0,1,0.0461958666406279,0.9538041333587044,1
257,257,1,1,-1,1,0.1,1,-0.1,1,0,258,1,0,0.1618159987342511,0.8381840012650054,1
258,258,1,1,1,1,0.01,1,0.01,1,1,259,1,1,0.1863360886058318,0.8136639113935737,1
